name,ingredients,nutrition,steps,meal_type,allergen,equipment_needed,method,protein,calories,carbs,fiber,prep_time,cook_time,fat,bucket,timing,dietary,allergens,equipment,health_tags,effort_tags,flavor_tags
Grilled Chicken Breast,chicken breast olive oil salt pepper garlic,Protein 38.8g Calories 673.7,"Season the main ingredient with salt, pepper, and aromatics. Heat a grill pan or skillet until hot. Cook on both sides until done. Rest briefly, then serve.",Lunch Dinner,,Stove,Grill,38.8,673.7,36.6,0.4,10,15,12.9,Main Dish,"['Lunch', 'Dinner']","['Vegan', 'Vegetarian', 'Pescatarian']",[],"['没有Stove', '没有No-Cook']","['Protein High', 'Compact Fuel']","['Quick Fix', 'Fresh Run']",['Savory']
Caesar Salad,romaine lettuce cucumber tomato olive oil vinegar parmesan cheese croutons caesar dressing,Protein 26.0g Calories 374.2,"Prep the ingredients and a serving bowl. Combine everything and toss until evenly coated. Taste and adjust seasoning, then serve.",Lunch Dinner,Gluten Dairy,,No-Cook,26.0,374.2,14.0,6.0,5,0,13.3,Main Dish,"['Lunch', 'Dinner']",['Vegan'],"['Contains Gluten', 'Contains Dairy']",[],['Stable Energy'],"['Lightning', 'Fresh Run', 'Portable']","['Savory', 'Sour', 'Crunchy', 'Creamy', 'Clean / Detox']"
Margherita Pizza,pizza dough tomato sauce mozzarella cheese,Protein 24.7g Calories 801.7,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Lunch Dinner,Dairy,Stove,Cook,24.7,801.7,74.7,7.4,10,20,13.6,Main Dish,"['Lunch', 'Dinner']",['Vegan'],['Contains Dairy'],"['没有Stove', '没有No-Cook']",['Compact Fuel'],"['Quick Fix', 'Fresh Run']","['Savory', 'Creamy', 'Comfort Food', 'Kid Friendly']"
Pepperoni Pizza,pizza dough tomato sauce mozzarella cheese,Protein 28.0g Calories 526.1,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Lunch Dinner,Dairy,Stove,Cook,28.0,526.1,81.8,7.7,10,20,23.9,Main Dish,"['Lunch', 'Dinner']",['Vegan'],['Contains Dairy'],"['没有Stove', '没有No-Cook']",['Compact Fuel'],"['Quick Fix', 'Fresh Run']","['Savory', 'Creamy', 'Comfort Food', 'Kid Friendly']"
Spaghetti Carbonara,pasta tomato sauce parmesan cheese,Protein 44.3g Calories 543.2,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Lunch Dinner,Gluten Dairy,Stove,Cook,44.3,543.2,6.2,0.6,10,20,23.3,Main Dish,"['Lunch', 'Dinner']",['Vegan'],"['Contains Gluten', 'Contains Dairy']","['没有Stove', '没有No-Cook']","['Protein High', 'Keto Friendly', 'Compact Fuel']","['Quick Fix', 'Fresh Run']","['Savory', 'Creamy', 'Comfort Food']"
Chicken Parmesan,chicken breast olive oil salt pepper garlic,Protein 23.0g Calories 700.6,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Lunch Dinner,,Stove,Cook,23.0,700.6,14.8,5.7,10,20,17.8,Main Dish,"['Lunch', 'Dinner']","['Vegan', 'Vegetarian', 'Pescatarian']",[],"['没有Stove', '没有No-Cook']",['Compact Fuel'],"['Quick Fix', 'Fresh Run']",['Savory']
Beef Stew,beef olive oil salt pepper garlic onion broth,Protein 14.6g Calories 562.2,"Sauté aromatics in a pot until fragrant. Add main ingredients and liquid, then bring to a simmer. Cook until tender, stirring occasionally. Season to taste and serve warm.",Lunch Dinner,,Stove,Simmer,14.6,562.2,42.4,9.8,15,60,14.7,Complete Meal,"['Lunch', 'Dinner']","['Vegan', 'Vegetarian', 'Pescatarian']",[],"['没有Stove', '没有No-Cook']","['Volume Eater', 'Compact Fuel', 'Stable Energy']","['Slow Burn', 'One-Pot', 'Fresh Run', 'Meal Prep']","['Savory', 'Warm & Soupy', 'Comfort Food', 'Sick Day']"
French Onion Soup,onion garlic broth,Protein 22.4g Calories 363.5,"Sauté aromatics in a pot until fragrant. Add main ingredients and liquid, then bring to a simmer. Cook until tender, stirring occasionally. Season to taste and serve warm.",Lunch Dinner,,Stove,Simmer,22.4,363.5,22.6,8.8,10,25,8.0,Main Dish,"['Lunch', 'Dinner']",[],[],"['没有Stove', '没有No-Cook']",['Volume Eater'],"['Quick Fix', 'One-Pot', 'Fresh Run', 'Meal Prep']","['Savory', 'Warm & Soupy']"
Fish and Chips,,Protein 41.9g Calories 501.9,"Pat ingredients dry and season. Heat oil in a pan over medium-high heat. Cook until golden and crisp, turning as needed. Drain briefly and serve.",Lunch Dinner,,Stove,Fry,41.9,501.9,25.7,0.1,10,15,21.1,Main Dish,"['Lunch', 'Dinner']",[],[],"['没有Stove', '没有No-Cook']","['Protein High', 'Compact Fuel']","['Quick Fix', 'Fresh Run']","['Savory', 'Crunchy', 'Comfort Food']"
Turkey Chili,ground turkey onion garlic salt pepper broth beans tomatoes chili powder,Protein 18.3g Calories 534.7,"Sauté aromatics in a pot until fragrant. Add main ingredients and liquid, then bring to a simmer. Cook until tender, stirring occasionally. Season to taste and serve warm.",Lunch Dinner,,Stove,Simmer,18.3,534.7,20.0,2.5,15,60,15.0,Main Dish,"['Lunch', 'Dinner']","['Vegan', 'Vegetarian', 'Pescatarian']",[],"['没有Stove', '没有No-Cook']",['Compact Fuel'],"['Slow Burn', 'One-Pot', 'Fresh Run', 'Meal Prep']","['Savory', 'Spicy', 'Warm & Soupy']"
